basYm,rprSexNm,rprAggrNm,estbYr,bizAreaNm,bizBzcCd,bizBzcCdNm,empeCntNm,csdoClsfNm
202208,남성,40대,2015,경기도 김포시,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,40대,2012,경기도 김포시,47,소매업; 자동차 제외,0명,폐업
202208,남성,50대,2004,경기도 김포시,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
202208,여성,50대,2011,경기도 남양주시,10,식료품 제조업,0명,폐업
202208,남성,40대,2021,경기도 남양주시,45,자동차 및 부품 판매업,0명,폐업
202208,남성,40대,2013,경기도 남양주시,46,도매 및 상품 중개업,0명,폐업
202208,여성,30대,2017,경기도 동두천시,47,소매업; 자동차 제외,5명 이상 10명 미만,폐업
202208,남성,40대,2015,경기도 부천시,49,육상 운송 및 파이프라인 운송업,0명,폐업
202208,남성,50대,2011,경기도 부천시,47,소매업; 자동차 제외,0명,폐업
202208,남성,50대,1994,경기도 성남시 분당구,46,도매 및 상품 중개업,1명 이상 5명 미만,폐업
